,Date,Monthly_MSL
653,2004-09-01,7.038
654,2004-10-01,7.085
655,2004-11-01,6.966
656,2004-12-01,6.999
657,2005-01-01,6.981
658,2005-02-01,6.987
659,2005-03-01,6.967
660,2005-04-01,7.018
661,2005-05-01,6.952
662,2005-06-01,6.979
663,2005-07-01,6.963
664,2005-08-01,7.029
665,2005-09-01,6.978
666,2005-10-01,7.005
667,2005-11-01,7.006
668,2005-12-01,6.949
669,2006-01-01,6.971
670,2006-02-01,6.967
671,2006-03-01,6.957
672,2006-04-01,6.968
673,2006-05-01,6.992
674,2006-06-01,6.969
675,2006-07-01,7.023
676,2006-08-01,6.979
677,2006-09-01,7.008
678,2006-10-01,7.055
679,2006-11-01,7.046
680,2006-12-01,7.079
681,2007-01-01,7.076
682,2007-02-01,7.019
683,2007-03-01,6.987
684,2007-04-01,6.931
685,2007-05-01,6.953
686,2007-06-01,6.906
687,2007-07-01,6.949
688,2007-08-01,6.978
689,2007-09-01,7.037
690,2007-10-01,7.026
691,2007-11-01,6.959
692,2007-12-01,6.942
693,2008-01-01,6.986
694,2008-02-01,6.95
695,2008-03-01,6.994
696,2008-04-01,6.987
697,2008-05-01,7.026
698,2008-06-01,6.985
699,2008-07-01,7.022
700,2008-08-01,6.99
701,2008-09-01,6.975
702,2008-10-01,6.953
703,2009-08-01,7.061
704,2009-09-01,7.006
705,2009-10-01,7.002
706,2009-11-01,7.02
707,2009-12-01,7.037
708,2010-01-01,6.979
709,2010-02-01,7.009
710,2010-03-01,7.002
711,2010-04-01,6.995
712,2010-05-01,6.972
713,2010-06-01,6.941
714,2010-07-01,6.982
715,2010-08-01,7.029
716,2010-09-01,7.023
717,2010-10-01,7.038
718,2010-11-01,7.045
719,2010-12-01,7.048
720,2011-01-01,7.015
721,2011-02-01,7.055
722,2011-03-01,7.087
723,2011-04-01,7.11
724,2011-05-01,7.107
725,2011-06-01,7.051
726,2011-07-01,7.0
727,2011-08-01,7.002
728,2011-09-01,6.973
729,2011-10-01,7.001
730,2011-11-01,6.966
731,2011-12-01,6.993
732,2012-01-01,6.982
733,2012-02-01,6.982
734,2012-03-01,7.045
735,2012-04-01,7.054
736,2012-05-01,7.079
737,2012-06-01,7.067
738,2012-07-01,7.057
739,2012-08-01,7.033
740,2012-09-01,7.039
741,2012-10-01,7.002
742,2012-11-01,7.003
743,2012-12-01,6.989
744,2013-01-01,7.002
745,2013-02-01,6.99
746,2013-03-01,7.024
747,2013-04-01,6.991
748,2013-05-01,6.98
749,2013-06-01,6.953
750,2013-07-01,6.983
751,2013-08-01,7.004
752,2013-09-01,6.985
753,2013-10-01,7.022
754,2013-11-01,6.991
755,2013-12-01,7.025
756,2014-01-01,6.984
757,2014-02-01,6.973
758,2014-03-01,6.995
759,2014-04-01,7.065
760,2014-05-01,7.01
761,2014-06-01,7.006
762,2014-07-01,6.929
763,2014-08-01,6.984
764,2014-09-01,7.005
765,2014-10-01,6.978
766,2014-11-01,6.96
767,2014-12-01,6.978
768,2015-01-01,6.957
769,2015-02-01,6.957
770,2015-03-01,7.006
771,2015-04-01,7.04
772,2015-05-01,7.037
773,2015-06-01,6.987
774,2015-07-01,6.98
775,2015-08-01,6.992
776,2015-09-01,7.038
777,2015-10-01,6.992
778,2015-11-01,7.004
779,2015-12-01,6.983
780,2016-01-01,6.938
781,2016-02-01,6.962
782,2016-03-01,6.902
783,2016-04-01,6.904
784,2016-05-01,6.903
785,2016-06-01,6.917
786,2016-07-01,6.913
787,2016-08-01,6.928
788,2016-09-01,6.91
789,2016-10-01,6.923
790,2016-11-01,6.929
791,2016-12-01,6.932
792,2017-01-01,6.971
793,2017-02-01,6.934
794,2017-03-01,6.925
795,2017-04-01,6.928
796,2017-05-01,6.921
797,2017-06-01,7.066
798,2017-07-01,7.018
799,2017-08-01,7.019
800,2017-09-01,6.97
801,2017-10-01,6.989
802,2017-11-01,6.998
803,2017-12-01,6.991
804,2018-01-01,6.983
805,2018-02-01,7.058
806,2018-03-01,7.012
807,2018-04-01,7.074
808,2018-05-01,7.025
809,2018-06-01,7.0
810,2018-07-01,7.002
811,2018-08-01,7.006
812,2018-09-01,7.017
813,2018-10-01,7.028
814,2018-11-01,7.072
815,2018-12-01,6.998
816,2019-01-01,7.005
817,2019-02-01,6.974
818,2019-03-01,7.042
819,2019-04-01,7.023
820,2019-05-01,6.984
821,2019-06-01,6.971
822,2019-07-01,6.998
823,2019-08-01,6.991
824,2019-09-01,6.994
825,2019-10-01,6.991
826,2019-11-01,7.044
827,2019-12-01,6.993
828,2020-01-01,7.021
829,2020-02-01,6.982
830,2020-03-01,6.987
831,2020-04-01,6.975
832,2020-05-01,6.99
833,2020-06-01,6.965
834,2020-07-01,6.985
835,2020-08-01,6.998
836,2020-09-01,6.954
837,2020-10-01,6.977
838,2020-11-01,6.939
839,2020-12-01,6.979
840,2021-01-01,6.956
841,2021-02-01,6.978
842,2021-03-01,6.982
843,2021-04-01,7.03
844,2021-05-01,6.996
845,2021-06-01,7.022
846,2021-07-01,6.98
847,2021-08-01,6.991
848,2021-09-01,6.971
849,2021-10-01,6.971
850,2021-11-01,6.949
851,2021-12-01,6.969
852,2022-01-01,6.932
853,2022-02-01,6.99
854,2022-03-01,6.953
855,2022-04-01,6.942
856,2022-05-01,6.956
857,2022-06-01,6.97
858,2022-07-01,7.025
859,2022-08-01,7.043
860,2022-09-01,7.016
861,2022-10-01,7.023
862,2022-11-01,7.038
863,2022-12-01,6.967
